## TailSampling_New_Trace_Received
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor
説明: Tail Sampling: 新規トレース到着数累計
クエリ: increase(otelcol_processor_tail_sampling_new_trace_id_received_total{job="otel-collector-self"}[3m])
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 18:13:48, 21218.175, 21218
2026-03-27 18:14:03, 47024.774999999994, 47025
2026-03-27 18:14:18, 52265.325, 52265
2026-03-27 18:14:33, 59694.097499999996, 59694
2026-03-27 18:14:48, 86763.15000000001, 86763
2026-03-27 18:15:03, 96890.13750000001, 96890
2026-03-27 18:15:18, 109311.71447368422, 109312
2026-03-27 18:15:33, 124211.56022727274, 124212
2026-03-27 18:15:48, 143792.079, 143792
2026-03-27 18:16:03, 153062.62232142856, 153063
2026-03-27 18:16:18, 166461.6120967742, 166462
2026-03-27 18:16:33, 195449.29411764705, 195449
2026-03-27 18:16:48, 181169.4857142857, 181169
2026-03-27 18:17:03, 166799.31428571427, 166799
2026-03-27 18:17:18, 181916.22857142854, 181916
2026-03-27 18:17:33, 177215.65714285712, 177216
2026-03-27 18:17:48, 166710.85714285713, 166711
2026-03-27 18:18:03, 175133.82857142854, 175134
2026-03-27 18:18:18, 172866.85714285713, 172867
2026-03-27 18:18:33, 167897.82857142854, 167898
2026-03-27 18:18:48, 170610.17142857143, 170610
2026-03-27 18:19:03, 174858.1714285714, 174858
2026-03-27 18:19:18, 168846.17142857143, 168846
2026-03-27 18:19:33, 168379.19999999998, 168379
2026-03-27 18:19:48, 173785.3714285714, 173785
2026-03-27 18:20:03, 165802.62857142856, 165803
2026-03-27 18:20:18, 156320.22857142857, 156320
2026-03-27 18:20:33, 165179.31428571427, 165179
2026-03-27 18:20:48, 165152.57142857142, 165153
2026-03-27 18:21:03, 161559.7714285714, 161560
2026-03-27 18:21:18, 165837.59999999998, 165838
2026-03-27 18:21:33, 164908.8, 164909
2026-03-27 18:21:48, 164682.51428571428, 164683
2026-03-27 18:22:03, 163250.74285714285, 163251
2026-03-27 18:22:18, 165037.3714285714, 165037
2026-03-27 18:22:33, 156817.02857142856, 156817
2026-03-27 18:22:48, 163569.59999999998, 163570
2026-03-27 18:23:03, 157454.74285714285, 157455
2026-03-27 18:23:18, 161031.0857142857, 161031
2026-03-27 18:23:33, 164881.02857142856, 164881
2026-03-27 18:23:48, 157471.19999999998, 157471
2026-03-27 18:24:03, 137781.25714285712, 137781
2026-03-27 18:24:18, 122705.4857142857, 122705
2026-03-27 18:24:33, 108520.45714285714, 108520
2026-03-27 18:24:48, 96327.77142857142, 96328
2026-03-27 18:25:03, 78412.11428571428, 78412
2026-03-27 18:25:18, 68455.9669117647, 68456
