## TailSampling_New_Trace_Received
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor
説明: Tail Sampling: 新規トレース到着数累計
クエリ: increase(otelcol_processor_tail_sampling_new_trace_id_received_total{job="otel-collector-self"}[3m])
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 18:40:22, 25092.0205, 25092
2026-03-27 18:40:37, 50788.470988518624, 50788
2026-03-27 18:40:52, 76516.251325, 76516
2026-03-27 18:41:07, 102108.61428887857, 102109
2026-03-27 18:41:22, 127753.25409609392, 127753
2026-03-27 18:41:37, 153303.69447295374, 153304
2026-03-27 18:41:52, 178884.83277523326, 178885
2026-03-27 18:42:07, 204302.97188111898, 204303
2026-03-27 18:42:22, 229686.64619923182, 229687
2026-03-27 18:42:37, 255040.49255631014, 255040
2026-03-27 18:42:52, 279667.9912507265, 279668
2026-03-27 18:43:07, 305424.09298445116, 305424
2026-03-27 18:43:22, 305418.8571428571, 305419
2026-03-27 18:43:37, 305102.0571428571, 305102
2026-03-27 18:43:52, 305114.31232607446, 305114
2026-03-27 18:44:07, 305103.08571428567, 305103
2026-03-27 18:44:22, 305208.93927532673, 305209
2026-03-27 18:44:37, 305317.02857142856, 305317
2026-03-27 18:44:52, 305410.62857142853, 305411
2026-03-27 18:45:07, 305531.99999999994, 305532
2026-03-27 18:45:22, 305800.3577081536, 305800
2026-03-27 18:45:37, 305957.5197572558, 305958
2026-03-27 18:45:52, 306784.8, 306785
2026-03-27 18:46:07, 306869.14285714284, 306869
2026-03-27 18:46:22, 306800.22857142857, 306800
2026-03-27 18:46:37, 306383.6571428571, 306384
2026-03-27 18:46:52, 294852.0588336133, 294852
2026-03-27 18:47:07, 281621.82857142854, 281622
2026-03-27 18:47:22, 268066.2857142857, 268066
2026-03-27 18:47:37, 255646.28571428568, 255646
2026-03-27 18:47:52, 243395.2754825659, 243395
2026-03-27 18:48:07, 229790.9107013263, 229791
2026-03-27 18:48:22, 217134.51428571428, 217135
2026-03-27 18:48:37, 204749.06144466097, 204749
2026-03-27 18:48:52, 192601.84111129527, 192602
2026-03-27 18:49:07, 179597.82857142854, 179598
2026-03-27 18:49:22, 166776.6857142857, 166777
2026-03-27 18:49:37, 156380.91428571427, 156381
2026-03-27 18:49:52, 157439.31428571427, 157439
2026-03-27 18:50:07, 157521.59999999998, 157522
2026-03-27 18:50:22, 145679.0687840363, 145679
2026-03-27 18:50:37, 131641.71428571426, 131642
2026-03-27 18:50:52, 117822.85714285713, 117823
2026-03-27 18:51:07, 105292.79999999999, 105293
2026-03-27 18:51:22, 91244.5572050605, 91245
2026-03-27 18:51:37, 77341.95804595402, 77342
2026-03-27 18:51:52, 63676.70439407439, 63677
