## TailSampling_New_Trace_Received
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor
説明: Tail Sampling: 新規トレース到着数累計
クエリ: increase(otelcol_processor_tail_sampling_new_trace_id_received_total{job="otel-collector-self"}[3m])
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 17:47:48, 27346.28618585576, 27346
2026-03-27 17:48:03, 53380.0141216946, 53380
2026-03-27 17:48:18, 79262.71680376028, 79263
2026-03-27 17:48:33, 105188.57388584832, 105189
2026-03-27 17:48:48, 131091.22182379247, 131091
2026-03-27 17:49:03, 156926.06576470588, 156926
2026-03-27 17:49:18, 182840.51142534276, 182841
2026-03-27 17:49:33, 208739.17303929667, 208739
2026-03-27 17:49:48, 234669.87662792217, 234670
2026-03-27 17:50:03, 260539.7899335848, 260540
2026-03-27 17:50:18, 285562.87056874996, 285563
2026-03-27 17:50:33, 309942.0578050537, 309942
2026-03-27 17:50:48, 309463.19999999995, 309463
2026-03-27 17:51:03, 309318.1714285714, 309318
2026-03-27 17:51:18, 309213.86325323576, 309214
2026-03-27 17:51:33, 309075.5639871089, 309076
2026-03-27 17:51:48, 309061.9214153466, 309062
2026-03-27 17:52:03, 309103.19999999995, 309103
2026-03-27 17:52:18, 309008.5714285714, 309009
2026-03-27 17:52:33, 308663.56181605184, 308664
2026-03-27 17:52:48, 308233.02857142856, 308233
2026-03-27 17:53:03, 308087.12943704147, 308087
2026-03-27 17:53:18, 308777.14285714284, 308777
2026-03-27 17:53:33, 309171.50938544614, 309172
2026-03-27 17:53:48, 309012.6857142857, 309013
2026-03-27 17:54:03, 308858.2596173627, 308858
2026-03-27 17:54:18, 308854.8815680448, 308855
2026-03-27 17:54:33, 308697.64970085537, 308698
2026-03-27 17:54:48, 308413.02857142856, 308413
2026-03-27 17:55:03, 308133.83239521127, 308134
2026-03-27 17:55:18, 307738.2857142857, 307738
2026-03-27 17:55:33, 308162.2134351215, 308162
2026-03-27 17:55:48, 308178.96631524817, 308179
2026-03-27 17:56:03, 307935.2018513757, 307935
2026-03-27 17:56:18, 307865.66550092574, 307866
2026-03-27 17:56:33, 307781.7841040908, 307782
2026-03-27 17:56:48, 307744.2912980868, 307744
2026-03-27 17:57:03, 307739.31428571424, 307739
2026-03-27 17:57:18, 307806.1714285714, 307806
2026-03-27 17:57:33, 307759.0226509109, 307759
2026-03-27 17:57:48, 286929.2571428571, 286929
2026-03-27 17:58:03, 260739.7714285714, 260740
2026-03-27 17:58:18, 234365.0462579359, 234365
2026-03-27 17:58:33, 207911.5453844176, 207912
2026-03-27 17:58:48, 181562.3553612754, 181562
2026-03-27 17:59:03, 155226.85714285713, 155227
2026-03-27 17:59:18, 127846.70872941178, 127847
