## CPU_Usage_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/service
説明: CPU Usage Rate - CPU使用率
クエリ: rate(otelcol_process_cpu_seconds_total{job="otel-collector-self"}[1m])
単位: ratio

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 16:53:50, 0.0013617333333333303, 0.14%
2026-03-27 16:54:05, 0.0027089999999999987, 0.27%
2026-03-27 16:54:20, 0.004222933333333333, 0.42%
2026-03-27 16:54:35, 0.005636363636363633, 0.56%
2026-03-27 16:54:50, 0.006000000000000001, 0.60%
2026-03-27 16:55:05, 0.005818181818181819, 0.58%
2026-03-27 16:55:20, 0.005454545454545457, 0.55%
2026-03-27 16:55:35, 0.005454545454545455, 0.55%
2026-03-27 16:55:50, 0.005272727272727269, 0.53%
2026-03-27 16:56:05, 0.010805687203791462, 1.08%
2026-03-27 16:56:20, 0.015355450236966817, 1.54%
2026-03-27 16:56:35, 0.12189573459715641, 12.19%
2026-03-27 16:56:50, 0.22269504444444443, 22.27%
2026-03-27 16:57:05, 0.3360074484848485, 33.60%
2026-03-27 16:57:20, 0.43563636363636365, 43.56%
2026-03-27 16:57:35, 0.4381818181818182, 43.82%
2026-03-27 16:57:50, 0.4438181818181818, 44.38%
2026-03-27 16:58:05, 0.44109090909090903, 44.11%
2026-03-27 16:58:20, 0.4476363636363636, 44.76%
2026-03-27 16:58:35, 0.44690909090909087, 44.69%
2026-03-27 16:58:50, 0.46090909090909077, 46.09%
2026-03-27 16:59:05, 0.4710909090909089, 47.11%
2026-03-27 16:59:20, 0.475818181818182, 47.58%
2026-03-27 16:59:35, 0.46799999999999986, 46.80%
2026-03-27 16:59:50, 0.495818181818182, 49.58%
2026-03-27 17:00:05, 0.4916363636363637, 49.16%
2026-03-27 17:00:20, 0.48436363636363633, 48.44%
2026-03-27 17:00:35, 0.47492636095858043, 47.49%
2026-03-27 17:00:50, 0.4530909090909088, 45.31%
2026-03-27 17:01:05, 0.4558181818181817, 45.58%
2026-03-27 17:01:20, 0.4494545454545454, 44.95%
2026-03-27 17:01:35, 0.45654545454545425, 45.65%
2026-03-27 17:01:50, 0.46181818181818163, 46.18%
2026-03-27 17:02:05, 0.4560000000000002, 45.60%
2026-03-27 17:02:20, 0.4554545454545456, 45.55%
2026-03-27 17:02:35, 0.4543636363636365, 45.44%
2026-03-27 17:02:50, 0.45181818181818223, 45.18%
2026-03-27 17:03:05, 0.4512727272727271, 45.13%
2026-03-27 17:03:20, 0.4510909090909091, 45.11%
2026-03-27 17:03:35, 0.4569090909090908, 45.69%
2026-03-27 17:03:50, 0.4567272727272728, 45.67%
2026-03-27 17:04:05, 0.4619999999999999, 46.20%
2026-03-27 17:04:20, 0.4567272727272733, 45.67%
2026-03-27 17:04:35, 0.4556363636363631, 45.56%
2026-03-27 17:04:50, 0.45490909090909054, 45.49%
2026-03-27 17:05:05, 0.45872727272727254, 45.87%
2026-03-27 17:05:20, 0.46127272727272733, 46.13%
2026-03-27 17:05:35, 0.4636363636363636, 46.36%
2026-03-27 17:05:50, 0.4618181818181824, 46.18%
2026-03-27 17:06:05, 0.4662072476680544, 46.62%
2026-03-27 17:06:20, 0.46345454545454506, 46.35%
2026-03-27 17:06:35, 0.35709090909090985, 35.71%
2026-03-27 17:06:50, 0.23636363636363636, 23.64%
2026-03-27 17:07:05, 0.10672727272727281, 10.67%
2026-03-27 17:07:20, 0.005454545454545661, 0.55%
2026-03-27 17:07:35, 0.005272727272727645, 0.53%
2026-03-27 17:07:50, 0.005090909090909628, 0.51%
2026-03-27 17:08:05, 0.011090909090909339, 1.11%
