## TailSampling_Traces_On_Memory
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor
説明: Tail Sampling: 現在メモリに保持しているトレース数
クエリ: otelcol_processor_tail_sampling_sampling_traces_on_memory{job="otel-collector-self"}
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 15:04:23, 0, 0
2026-03-27 15:04:38, 6821, 6821
2026-03-27 15:04:53, 18188, 18188
2026-03-27 15:05:08, 30876, 30876
2026-03-27 15:05:23, 43031, 43031
2026-03-27 15:05:38, 55468, 55468
2026-03-27 15:05:53, 67314, 67314
2026-03-27 15:06:08, 79178, 79178
2026-03-27 15:06:23, 91886, 91886
2026-03-27 15:06:38, 100000, 100000
2026-03-27 15:06:53, 100000, 100000
2026-03-27 15:07:08, 100000, 100000
2026-03-27 15:07:23, 100000, 100000
2026-03-27 15:07:38, 100000, 100000
2026-03-27 15:07:53, 100000, 100000
2026-03-27 15:08:08, 100000, 100000
2026-03-27 15:08:23, 100000, 100000
2026-03-27 15:08:38, 100000, 100000
2026-03-27 15:08:53, 100000, 100000
2026-03-27 15:09:08, 100000, 100000
2026-03-27 15:09:23, 100000, 100000
2026-03-27 15:09:38, 100000, 100000
2026-03-27 15:09:53, 100000, 100000
2026-03-27 15:10:08, 100000, 100000
2026-03-27 15:10:23, 100000, 100000
2026-03-27 15:10:38, 100000, 100000
2026-03-27 15:10:53, 100000, 100000
2026-03-27 15:11:08, 100000, 100000
2026-03-27 15:11:23, 100000, 100000
2026-03-27 15:11:38, 100000, 100000
2026-03-27 15:11:53, 100000, 100000
2026-03-27 15:12:08, 100000, 100000
2026-03-27 15:12:23, 100000, 100000
2026-03-27 15:12:38, 100000, 100000
2026-03-27 15:12:53, 100000, 100000
2026-03-27 15:13:08, 100000, 100000
2026-03-27 15:13:23, 100000, 100000
2026-03-27 15:13:38, 100000, 100000
2026-03-27 15:13:53, 100000, 100000
2026-03-27 15:14:08, 100000, 100000
2026-03-27 15:14:23, 100000, 100000
2026-03-27 15:14:38, 100000, 100000
2026-03-27 15:14:53, 100000, 100000
2026-03-27 15:15:08, 100000, 100000
2026-03-27 15:15:23, 100000, 100000
2026-03-27 15:15:38, 100000, 100000
2026-03-27 15:15:53, 100000, 100000
