## CPU_Usage_Rate
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/service
説明: CPU Usage Rate - CPU使用率
クエリ: rate(otelcol_process_cpu_seconds_total{job="otel-collector-self"}[1m])
単位: ratio

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 14:36:12, 0.0014951999999999986, 0.15%
2026-03-27 14:36:27, 0.002703133333333333, 0.27%
2026-03-27 14:36:42, 0.003495200000000001, 0.35%
2026-03-27 14:36:57, 0.0041818181818181815, 0.42%
2026-03-27 14:37:12, 0.004181818181818183, 0.42%
2026-03-27 14:37:27, 0.004363636363636363, 0.44%
2026-03-27 14:37:42, 0.004363636363636363, 0.44%
2026-03-27 14:37:57, 0.0043636363636363655, 0.44%
2026-03-27 14:38:12, 0.009572709076668701, 0.96%
2026-03-27 14:38:27, 0.009920807588547562, 0.99%
2026-03-27 14:38:42, 0.08667652945783658, 8.67%
2026-03-27 14:38:57, 0.1911060830214951, 19.11%
2026-03-27 14:39:12, 0.24929487272727274, 24.93%
2026-03-27 14:39:27, 0.28472727272727266, 28.47%
2026-03-27 14:39:42, 0.27909090909090906, 27.91%
2026-03-27 14:39:57, 0.236, 23.60%
2026-03-27 14:40:12, 0.24036363636363633, 24.04%
2026-03-27 14:40:27, 0.2798181818181818, 27.98%
2026-03-27 14:40:42, 0.23599999999999993, 23.60%
2026-03-27 14:40:57, 0.2605454545454546, 26.05%
2026-03-27 14:41:12, 0.2521818181818181, 25.22%
2026-03-27 14:41:27, 0.22218181818181815, 22.22%
2026-03-27 14:41:42, 0.24618181818181814, 24.62%
2026-03-27 14:41:57, 0.28727272727272735, 28.73%
2026-03-27 14:42:12, 0.3154545454545453, 31.55%
2026-03-27 14:42:27, 0.29872727272727273, 29.87%
2026-03-27 14:42:42, 0.29400000000000015, 29.40%
2026-03-27 14:42:57, 0.248181818181818, 24.82%
2026-03-27 14:43:12, 0.248, 24.80%
2026-03-27 14:43:27, 0.24618181818181803, 24.62%
2026-03-27 14:43:42, 0.2614545454545454, 26.15%
2026-03-27 14:43:57, 0.23654545454545436, 23.65%
2026-03-27 14:44:12, 0.23945454545454548, 23.95%
2026-03-27 14:44:27, 0.2503636363636363, 25.04%
2026-03-27 14:44:42, 0.2463636363636363, 24.64%
2026-03-27 14:44:57, 0.2321818181818181, 23.22%
2026-03-27 14:45:12, 0.22000000000000014, 22.00%
2026-03-27 14:45:27, 0.24872727272727285, 24.87%
2026-03-27 14:45:42, 0.23927272727272694, 23.93%
2026-03-27 14:45:57, 0.24363636363636373, 24.36%
2026-03-27 14:46:12, 0.2516363636363637, 25.16%
2026-03-27 14:46:27, 0.2676363636363636, 26.76%
2026-03-27 14:46:42, 0.24090909090909116, 24.09%
2026-03-27 14:46:57, 0.23800000000000004, 23.80%
2026-03-27 14:47:12, 0.2425454545454546, 24.25%
2026-03-27 14:47:27, 0.22618181818181812, 22.62%
2026-03-27 14:47:42, 0.24200000000000002, 24.20%
2026-03-27 14:47:57, 0.2550909090909086, 25.51%
2026-03-27 14:48:12, 0.2441818181818183, 24.42%
2026-03-27 14:48:27, 0.23563636363636378, 23.56%
2026-03-27 14:48:42, 0.1934545454545457, 19.35%
2026-03-27 14:48:57, 0.14200000000000004, 14.20%
2026-03-27 14:49:12, 0.08472727272727267, 8.47%
2026-03-27 14:49:27, 0.013636363636363636, 1.36%
2026-03-27 14:49:42, 0.012909090909091054, 1.29%
2026-03-27 14:49:57, 0.011272727272727354, 1.13%
2026-03-27 14:50:12, 0.011090909090909339, 1.11%
