## Uptime_seconds
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/service
説明: Collector Uptime - 起動時間
クエリ: otelcol_process_uptime_seconds_total{job="otel-collector-self"}
単位: seconds

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 17:19:14, 12.719403736, 12.72s
2026-03-27 17:19:29, 27.71897428, 27.72s
2026-03-27 17:19:44, 42.718992228, 42.72s
2026-03-27 17:19:59, 57.718926376, 57.72s
2026-03-27 17:20:14, 72.719401595, 1.21m
2026-03-27 17:20:29, 87.71981581, 1.46m
2026-03-27 17:20:44, 102.719505787, 1.71m
2026-03-27 17:20:59, 117.719229545, 1.96m
2026-03-27 17:21:14, 132.719582687, 2.21m
2026-03-27 17:21:29, 147.719767512, 2.46m
2026-03-27 17:21:44, 6.443964467, 6.44s
2026-03-27 17:21:59, 0.720140282, 0.72s
2026-03-27 17:22:14, 15.718617997, 15.72s
2026-03-27 17:22:29, 30.718651143, 30.72s
2026-03-27 17:22:44, 45.718866508, 45.72s
2026-03-27 17:22:59, 60.719307885, 1.01m
2026-03-27 17:23:14, 75.718620898, 1.26m
2026-03-27 17:23:29, 90.718539586, 1.51m
2026-03-27 17:23:44, 105.718433135, 1.76m
2026-03-27 17:23:59, 120.718973091, 2.01m
2026-03-27 17:24:14, 135.718552936, 2.26m
2026-03-27 17:24:29, 150.718995724, 2.51m
2026-03-27 17:24:44, 165.718418635, 2.76m
2026-03-27 17:24:59, 180.719166967, 3.01m
2026-03-27 17:25:14, 195.71867499, 3.26m
2026-03-27 17:25:29, 210.71827346, 3.51m
2026-03-27 17:25:44, 225.718431886, 3.76m
2026-03-27 17:25:59, 240.718795751, 4.01m
2026-03-27 17:26:14, 255.718263692, 4.26m
2026-03-27 17:26:29, 270.718362227, 4.51m
2026-03-27 17:26:44, 285.718731898, 4.76m
2026-03-27 17:26:59, 300.718829911, 5.01m
2026-03-27 17:27:14, 315.718531828, 5.26m
2026-03-27 17:27:29, 330.718723919, 5.51m
2026-03-27 17:27:44, 345.719807729, 5.76m
2026-03-27 17:27:59, 360.718179131, 6.01m
2026-03-27 17:28:14, 375.718686472, 6.26m
2026-03-27 17:28:29, 390.718527537, 6.51m
2026-03-27 17:28:44, 405.718677788, 6.76m
2026-03-27 17:28:59, 420.718288622, 7.01m
2026-03-27 17:29:14, 435.71826641, 7.26m
2026-03-27 17:29:29, 450.718801915, 7.51m
2026-03-27 17:29:44, 465.718153104, 7.76m
2026-03-27 17:29:59, 480.718791216, 8.01m
2026-03-27 17:30:14, 495.718423773, 8.26m
2026-03-27 17:30:29, 510.719046289, 8.51m
2026-03-27 17:30:44, 525.718730841, 8.76m
2026-03-27 17:30:59, 540.719330419, 9.01m
2026-03-27 17:31:14, 555.718444648, 9.26m
2026-03-27 17:31:29, 570.719134544, 9.51m
2026-03-27 17:31:44, 585.719430584, 9.76m
2026-03-27 17:31:59, 600.718764936, 10.01m
2026-03-27 17:32:14, 615.719491142, 10.26m
2026-03-27 17:32:29, 630.71871063, 10.51m
2026-03-27 17:32:44, 645.718543479, 10.76m
2026-03-27 17:32:59, 660.718746928, 11.01m
2026-03-27 17:33:14, 675.718711831, 11.26m
2026-03-27 17:33:29, 690.718672828, 11.51m
2026-03-27 17:33:44, 3.57328705, 3.57s
