## TailSampling_Traces_On_Memory
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor
説明: Tail Sampling: 現在メモリに保持しているトレース数
クエリ: otelcol_processor_tail_sampling_sampling_traces_on_memory{job="otel-collector-self"}
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 17:22:14, 22285, 22285
2026-03-27 17:22:29, 47914, 47914
2026-03-27 17:22:44, 56718, 56718
2026-03-27 17:22:59, 67717, 67717
2026-03-27 17:23:14, 86288, 86288
2026-03-27 17:23:29, 98233, 98233
2026-03-27 17:23:44, 100000, 100000
2026-03-27 17:23:59, 100000, 100000
2026-03-27 17:24:14, 100000, 100000
2026-03-27 17:24:29, 100000, 100000
2026-03-27 17:24:44, 100000, 100000
2026-03-27 17:24:59, 100000, 100000
2026-03-27 17:25:14, 100000, 100000
2026-03-27 17:25:29, 100000, 100000
2026-03-27 17:25:44, 100000, 100000
2026-03-27 17:25:59, 100000, 100000
2026-03-27 17:26:14, 100000, 100000
2026-03-27 17:26:29, 100000, 100000
2026-03-27 17:26:44, 100000, 100000
2026-03-27 17:26:59, 100000, 100000
2026-03-27 17:27:14, 100000, 100000
2026-03-27 17:27:29, 100000, 100000
2026-03-27 17:27:44, 100000, 100000
2026-03-27 17:27:59, 100000, 100000
2026-03-27 17:28:14, 100000, 100000
2026-03-27 17:28:29, 100000, 100000
2026-03-27 17:28:44, 100000, 100000
2026-03-27 17:28:59, 100000, 100000
2026-03-27 17:29:14, 100000, 100000
2026-03-27 17:29:29, 100000, 100000
2026-03-27 17:29:44, 100000, 100000
2026-03-27 17:29:59, 100000, 100000
2026-03-27 17:30:14, 100000, 100000
2026-03-27 17:30:29, 100000, 100000
2026-03-27 17:30:44, 100000, 100000
2026-03-27 17:30:59, 100000, 100000
2026-03-27 17:31:14, 100000, 100000
2026-03-27 17:31:29, 100000, 100000
2026-03-27 17:31:44, 100000, 100000
2026-03-27 17:31:59, 100000, 100000
2026-03-27 17:32:14, 100000, 100000
2026-03-27 17:32:29, 100000, 100000
2026-03-27 17:32:44, 100000, 100000
2026-03-27 17:32:59, 100000, 100000
2026-03-27 17:33:14, 100000, 100000
2026-03-27 17:33:29, 100000, 100000
