## TailSampling_New_Trace_Received
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor
説明: Tail Sampling: 新規トレース到着数累計
クエリ: increase(otelcol_processor_tail_sampling_new_trace_id_received_total{job="otel-collector-self"}[3m])
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 12:54:25, 35276.5728, 35277
2026-03-27 12:54:40, 49325.934799999995, 49326
2026-03-27 12:54:55, 54512.645422222224, 54513
2026-03-27 12:55:10, 74671.0652, 74671
2026-03-27 12:55:25, 97850.49317333334, 97850
2026-03-27 12:55:40, 101611.49471111111, 101611
2026-03-27 12:55:55, 115941.78205714286, 115942
2026-03-27 12:56:10, 141672.27573333334, 141672
2026-03-27 12:56:25, 149273.43706666664, 149273
2026-03-27 12:56:40, 157686.05754666665, 157686
2026-03-27 12:56:55, 179188.62693333332, 179189
2026-03-27 12:57:10, 181435.8857142857, 181436
2026-03-27 12:57:25, 170660.57142857142, 170661
2026-03-27 12:57:40, 170228.57142857142, 170229
2026-03-27 12:57:55, 187125.94285714283, 187126
2026-03-27 12:58:10, 169835.65714285712, 169836
2026-03-27 12:58:25, 165605.14285714284, 165605
2026-03-27 12:58:40, 170953.71428571426, 170954
2026-03-27 12:58:55, 168653.82857142854, 168654
2026-03-27 12:59:10, 160105.3714285714, 160105
2026-03-27 12:59:25, 175235.65714285712, 175236
2026-03-27 12:59:40, 170754.17142857143, 170754
2026-03-27 12:59:55, 155590.9714285714, 155591
2026-03-27 13:00:10, 166372.45714285714, 166372
2026-03-27 13:00:25, 164877.94285714283, 164878
2026-03-27 13:00:40, 161111.31428571427, 161111
2026-03-27 13:00:55, 165772.8, 165773
2026-03-27 13:01:10, 166432.11428571425, 166432
2026-03-27 13:01:25, 164678.4, 164678
2026-03-27 13:01:40, 165781.02857142856, 165781
2026-03-27 13:01:55, 165866.4, 165866
2026-03-27 13:02:10, 171539.99999999997, 171540
2026-03-27 13:02:25, 165867.42857142855, 165867
2026-03-27 13:02:40, 160643.31428571427, 160643
2026-03-27 13:02:55, 171406.2857142857, 171406
2026-03-27 13:03:10, 169908.6857142857, 169909
2026-03-27 13:03:25, 160381.02857142856, 160381
2026-03-27 13:03:40, 171255.0857142857, 171255
2026-03-27 13:03:55, 174555.7714285714, 174556
2026-03-27 13:04:10, 162800.22857142857, 162800
2026-03-27 13:04:25, 151143.42857142855, 151143
2026-03-27 13:04:40, 141100.45714285714, 141100
2026-03-27 13:04:55, 128058.17142857141, 128058
2026-03-27 13:05:10, 110067.42857142857, 110067
2026-03-27 13:05:25, 100164.34285714285, 100164
2026-03-27 13:05:40, 80004.34285714285, 80004
2026-03-27 13:05:55, 60065.36804705882, 60065
