## TailSampling_Traces_On_Memory
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor
説明: Tail Sampling: 現在メモリに保持しているトレース数
クエリ: otelcol_processor_tail_sampling_sampling_traces_on_memory{job="otel-collector-self"}
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 13:19:23, 1696, 1696
2026-03-27 13:19:38, 27497, 27497
2026-03-27 13:19:53, 53432, 53432
2026-03-27 13:20:08, 79214, 79214
2026-03-27 13:20:23, 100000, 100000
2026-03-27 13:20:38, 100000, 100000
2026-03-27 13:20:53, 100000, 100000
2026-03-27 13:21:08, 100000, 100000
2026-03-27 13:21:23, 100000, 100000
2026-03-27 13:21:38, 100000, 100000
2026-03-27 13:21:53, 100000, 100000
2026-03-27 13:22:08, 100000, 100000
2026-03-27 13:22:23, 100000, 100000
2026-03-27 13:22:38, 100000, 100000
2026-03-27 13:22:53, 100000, 100000
2026-03-27 13:23:08, 100000, 100000
2026-03-27 13:23:23, 100000, 100000
2026-03-27 13:23:38, 100000, 100000
2026-03-27 13:23:53, 100000, 100000
2026-03-27 13:24:08, 100000, 100000
2026-03-27 13:24:23, 100000, 100000
2026-03-27 13:24:38, 100000, 100000
2026-03-27 13:24:53, 100000, 100000
2026-03-27 13:25:08, 100000, 100000
2026-03-27 13:25:23, 100000, 100000
2026-03-27 13:25:38, 100000, 100000
2026-03-27 13:25:53, 100000, 100000
2026-03-27 13:26:08, 100000, 100000
2026-03-27 13:26:23, 100000, 100000
2026-03-27 13:26:38, 100000, 100000
2026-03-27 13:26:53, 100000, 100000
2026-03-27 13:27:08, 100000, 100000
2026-03-27 13:27:23, 100000, 100000
2026-03-27 13:27:38, 100000, 100000
2026-03-27 13:27:53, 100000, 100000
2026-03-27 13:28:08, 100000, 100000
2026-03-27 13:28:23, 100000, 100000
2026-03-27 13:28:38, 100000, 100000
2026-03-27 13:28:53, 100000, 100000
2026-03-27 13:29:08, 100000, 100000
2026-03-27 13:29:23, 100000, 100000
2026-03-27 13:29:38, 100000, 100000
2026-03-27 13:29:53, 100000, 100000
2026-03-27 13:30:08, 100000, 100000
2026-03-27 13:30:23, 100000, 100000
2026-03-27 13:30:38, 100000, 100000
2026-03-27 13:30:53, 100000, 100000
