## TailSampling_New_Trace_Received
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor
説明: Tail Sampling: 新規トレース到着数累計
クエリ: increase(otelcol_processor_tail_sampling_new_trace_id_received_total{job="otel-collector-self"}[3m])
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 14:41:04, 33008.273199999996, 33008
2026-03-23 14:41:19, 53836.561295913605, 53837
2026-03-23 14:41:34, 59831.15104444444, 59831
2026-03-23 14:41:49, 74195.68700000002, 74196
2026-03-23 14:42:04, 100059.06011999998, 100059
2026-03-23 14:42:19, 106082.63296666666, 106083
2026-03-23 14:42:34, 116520.00219999999, 116520
2026-03-23 14:42:49, 139311.53801603307, 139312
2026-03-23 14:43:04, 147857.5564148148, 147858
2026-03-23 14:43:19, 162498.2113, 162498
2026-03-23 14:43:34, 176303.26393333334, 176303
2026-03-23 14:43:49, 185478.1714285714, 185478
2026-03-23 14:44:04, 167898.85714285713, 167899
2026-03-23 14:44:19, 168992.22857142857, 168992
2026-03-23 14:44:34, 180343.54285714283, 180344
2026-03-23 14:44:49, 173318.3236379844, 173318
2026-03-23 14:45:04, 163709.67188946414, 163710
2026-03-23 14:45:19, 172902.85714285713, 172903
2026-03-23 14:45:34, 175475.2625744294, 175475
2026-03-23 14:45:49, 160303.8857142857, 160304
2026-03-23 14:46:04, 164323.72201460556, 164324
2026-03-23 14:46:19, 172253.82857142854, 172254
2026-03-23 14:46:34, 165409.46416224277, 165409
2026-03-23 14:46:49, 162808.45714285714, 162808
2026-03-23 14:47:04, 162472.31460211886, 162472
2026-03-23 14:47:19, 162826.9714285714, 162827
2026-03-23 14:47:34, 167296.99767997346, 167297
2026-03-23 14:47:49, 159443.99999999997, 159444
2026-03-23 14:48:04, 170009.4857142857, 170009
2026-03-23 14:48:19, 166413.59999999998, 166414
2026-03-23 14:48:34, 164667.0857142857, 164667
2026-03-23 14:48:49, 163101.79312236432, 163102
2026-03-23 14:49:04, 168404.91428571427, 168405
2026-03-23 14:49:19, 163825.5294346221, 163826
2026-03-23 14:49:34, 162421.51338872442, 162422
2026-03-23 14:49:49, 161255.31428571427, 161255
2026-03-23 14:50:04, 158168.57142857142, 158169
2026-03-23 14:50:19, 166743.7714285714, 166744
2026-03-23 14:50:34, 158815.54285714283, 158816
2026-03-23 14:50:49, 160435.54285714283, 160436
2026-03-23 14:51:04, 146924.22857142857, 146924
2026-03-23 14:51:19, 136828.30660921836, 136828
2026-03-23 14:51:34, 115489.02857142856, 115489
2026-03-23 14:51:49, 102313.02857142856, 102313
2026-03-23 14:52:04, 93264.64840401825, 93265
2026-03-23 14:52:19, 74497.37142857142, 74497
2026-03-23 14:52:34, 57349.61475757576, 57350
