## TailSampling_Traces_On_Memory
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor
説明: Tail Sampling: 現在メモリに保持しているトレース数
クエリ: otelcol_processor_tail_sampling_sampling_traces_on_memory{job="otel-collector-self"}
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 15:04:10, 0, 0
2026-03-23 15:04:25, 24197, 24197
2026-03-23 15:04:40, 49586, 49586
2026-03-23 15:04:55, 74977, 74977
2026-03-23 15:05:10, 100000, 100000
2026-03-23 15:05:25, 100000, 100000
2026-03-23 15:05:40, 100000, 100000
2026-03-23 15:05:55, 100000, 100000
2026-03-23 15:06:10, 100000, 100000
2026-03-23 15:06:25, 100000, 100000
2026-03-23 15:06:40, 100000, 100000
2026-03-23 15:06:55, 100000, 100000
2026-03-23 15:07:10, 100000, 100000
2026-03-23 15:07:25, 100000, 100000
2026-03-23 15:07:40, 100000, 100000
2026-03-23 15:07:55, 100000, 100000
2026-03-23 15:08:10, 100000, 100000
2026-03-23 15:08:25, 100000, 100000
2026-03-23 15:08:40, 100000, 100000
2026-03-23 15:08:55, 100000, 100000
2026-03-23 15:09:10, 100000, 100000
2026-03-23 15:09:25, 100000, 100000
2026-03-23 15:09:40, 100000, 100000
2026-03-23 15:09:55, 100000, 100000
2026-03-23 15:10:10, 100000, 100000
2026-03-23 15:10:25, 100000, 100000
2026-03-23 15:10:40, 100000, 100000
2026-03-23 15:10:55, 100000, 100000
2026-03-23 15:11:10, 100000, 100000
2026-03-23 15:11:25, 100000, 100000
2026-03-23 15:11:40, 100000, 100000
2026-03-23 15:11:55, 100000, 100000
2026-03-23 15:12:10, 100000, 100000
2026-03-23 15:12:25, 100000, 100000
2026-03-23 15:12:40, 100000, 100000
2026-03-23 15:12:55, 100000, 100000
2026-03-23 15:13:10, 100000, 100000
2026-03-23 15:13:25, 100000, 100000
2026-03-23 15:13:40, 100000, 100000
2026-03-23 15:13:55, 100000, 100000
2026-03-23 15:14:10, 100000, 100000
2026-03-23 15:14:25, 100000, 100000
2026-03-23 15:14:40, 100000, 100000
2026-03-23 15:14:55, 100000, 100000
2026-03-23 15:15:10, 100000, 100000
2026-03-23 15:15:25, 100000, 100000
2026-03-23 15:15:40, 100000, 100000
