## Uptime_seconds
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=go.opentelemetry.io/collector/service
説明: Collector Uptime - 起動時間
クエリ: otelcol_process_uptime_seconds_total{job="otel-collector-self"}
単位: seconds

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-27 16:28:07, 3.516261887, 3.52s
2026-03-27 16:28:22, 18.513595003, 18.51s
2026-03-27 16:28:37, 33.512867821, 33.51s
2026-03-27 16:28:52, 48.512596701, 48.51s
2026-03-27 16:29:07, 63.512913404, 1.06m
2026-03-27 16:29:22, 78.513108453, 1.31m
2026-03-27 16:29:37, 93.513259415, 1.56m
2026-03-27 16:29:52, 108.513268909, 1.81m
2026-03-27 16:30:07, 123.512722106, 2.06m
2026-03-27 16:30:22, 138.512885475, 2.31m
2026-03-27 16:30:37, 12.336676083, 12.34s
2026-03-27 16:30:52, 2.073750753, 2.07s
2026-03-27 16:31:07, 17.071965124, 17.07s
2026-03-27 16:31:22, 32.072009758, 32.07s
2026-03-27 16:31:37, 47.072117801, 47.07s
2026-03-27 16:31:52, 62.073001206, 1.03m
2026-03-27 16:32:07, 77.073018203, 1.28m
2026-03-27 16:32:22, 92.070646348, 1.53m
2026-03-27 16:32:37, 107.070522502, 1.78m
2026-03-27 16:32:52, 122.072899992, 2.03m
2026-03-27 16:33:07, 137.07034721, 2.28m
2026-03-27 16:33:22, 152.072029026, 2.53m
2026-03-27 16:33:37, 167.070131619, 2.78m
2026-03-27 16:33:52, 182.070845895, 3.03m
2026-03-27 16:34:07, 197.077613784, 3.28m
2026-03-27 16:34:22, 212.072623777, 3.53m
2026-03-27 16:34:37, 227.072480241, 3.78m
2026-03-27 16:34:52, 242.0724604, 4.03m
2026-03-27 16:35:07, 257.072196538, 4.28m
2026-03-27 16:35:22, 272.070873147, 4.53m
2026-03-27 16:35:37, 287.070341734, 4.78m
2026-03-27 16:35:52, 302.071763446, 5.03m
2026-03-27 16:36:07, 317.070477588, 5.28m
2026-03-27 16:36:22, 332.070138407, 5.53m
2026-03-27 16:36:37, 347.070208204, 5.78m
2026-03-27 16:36:52, 362.070257748, 6.03m
2026-03-27 16:37:07, 377.072222193, 6.28m
2026-03-27 16:37:22, 392.069994949, 6.53m
2026-03-27 16:37:37, 407.076426465, 6.78m
2026-03-27 16:37:52, 422.070048196, 7.03m
2026-03-27 16:38:07, 437.07025876, 7.28m
2026-03-27 16:38:22, 452.072204175, 7.53m
2026-03-27 16:38:37, 467.072461934, 7.78m
2026-03-27 16:38:52, 482.072182644, 8.03m
2026-03-27 16:39:07, 497.070814471, 8.28m
2026-03-27 16:39:22, 512.072587004, 8.53m
2026-03-27 16:39:37, 527.072973808, 8.78m
2026-03-27 16:39:52, 542.070206475, 9.03m
2026-03-27 16:40:07, 557.070281228, 9.28m
2026-03-27 16:40:22, 572.072266586, 9.53m
2026-03-27 16:40:37, 587.070009374, 9.78m
2026-03-27 16:40:52, 602.070474533, 10.03m
2026-03-27 16:41:07, 617.072728679, 10.28m
2026-03-27 16:41:22, 632.070244977, 10.53m
2026-03-27 16:41:37, 647.070962546, 10.78m
2026-03-27 16:41:52, 662.071104426, 11.03m
2026-03-27 16:42:07, 677.072482226, 11.28m
2026-03-27 16:42:22, 692.070291881, 11.53m
2026-03-27 16:42:37, 5.271799556, 5.27s
